INSTNM,CITY,STABBR,ZIP,INSTURL
Everest College-Skokie,Skokie,IL,60077-1074,www.everest.edu/campus/skokie
Everest Institute-Southfield,Southfield,MI,48033,www.everest.edu/campus/southfield
North Central Michigan College,Petoskey,MI,49770,www.ncmich.edu
Northern Michigan University,Marquette,MI,49855,www.nmu.edu
Paul Mitchell the School-Escanaba,Escanaba,MI,49829,escanaba.paulmitchell.edu
Northwestern Michigan College,Traverse City,MI,49686,www.nmc.edu/
Northwood University-Michigan,Midland,MI,48640-2398,www.northwood.edu
Oakland Community College,Bloomfield Hills,MI,48304-2266,www.oaklandcc.edu
Oakland University,Rochester Hills,MI,48309-4401,www.oakland.edu
Olivet College,Olivet,MI,49076,www.olivetcollege.edu
Port Huron Cosmetology College,Waterford,MI,48329,www.michigancollegeofbeauty.com/
Kuyper College,Grand Rapids,MI,49525-9781, North Central Association of Colleges and Schools The Higher Learning Commission
Ross Medical Education Center-Lansing,Lansing,MI,48917,www.rosseducation.edu
Ross Medical Education Center-Madison Heights,Madison Heights,MI,48071, Accrediting Commission of Career Schools and Colleges
Ross Medical Education Center-Flint,Flint,MI,48507,www.rosseducation.edu
Sacred Heart Major Seminary,Detroit,MI,48206-1799, North Central Association of Colleges and Schools The Higher Learning Commission
Saginaw Valley State University,University Center,MI,48710,www.svsu.edu
Schoolcraft College,Livonia,MI,48152-2696,www.schoolcraft.edu
Siena Heights University,Adrian,MI,49221,www.sienaheights.edu
St Clair County Community College,Port Huron,MI,48061-5015,www.sc4.edu
Southwestern Michigan College,Dowagiac,MI,49047-9793,www.swmich.edu
Specs Howard School of Media Arts,Southfield,MI,48075,www.specshoward.edu
Spring Arbor University,Spring Arbor,MI,49283-9799,www.arbor.edu
Michigan Career and Technical Institute,Plainwell,MI,49080-9254,www.michigan.gov
Finlandia University,Hancock,MI,49930-1832,www.finlandia.edu
Thomas M Cooley Law Schoo,Lansing,MI,48901, North Central Association of Colleges and Schools The Higher Learning Commission
Twin City Beauty College,Saint Joseph,MI,49085,WWW.TCBEAUTYCOLLEGE.COM
Walsh College of Accountancy and Business Administration,Troy,MI,48083-5066,www.walshcollege.edu
Washtenaw Community College,Ann Arbor,MI,48105-4800,www.wccnet.edu
Wayne County Community College District,Detroit,MI,48226,www.wcccd.edu
Wayne State University,Detroit,MI,48202,www.wayne.edu
West Shore Community College,Scottville,MI,49454-0277,www.westshore.edu
Western Michigan University,Kalamazoo,MI,49008-5200,www.wmich.edu
Western Theological Seminary,Holland,MI,49423-3622,www.westernsem.edu
Wright Beauty Academy,Battle Creek,MI,49015,wba.edu
Academy College,Minneapolis,MN,55420-1554,www.academycollege.edu
Alexandria Technical & Community College,Alexandria,MN,56308,www.alextech.edu
American Indian OIC Inc,Minneapolis,MN,55404-2221,www.aioic.org
Anoka Technical College,Anoka,MN,55303,www.anokatech.edu
Anoka-Ramsey Community College,Coon Rapids,MN,55433-3470,www.anokaramsey.edu
Anoka-Ramsey Community College-Cambridge Campus,Cambridge,MN,550085704,http://www.anokaramsey.edu/
Augsburg College,Minneapolis,MN,55454,www.augsburg.edu
Riverland Community College,Austin,MN,55912-1473,www.riverland.edu
Northwest Technical College,Bemidji,MN,56601-4907,www.ntcmn.edu
Bemidji State University,Bemidji,MN,56601,www.bemidjistate.edu
Bethany Lutheran College,Mankato,MN,56001,www.blc.edu
Bethel University,Saint Paul,MN,55112, North Central Association of Colleges and Schools The Higher Learning Commission
Bethel Seminary-St Paul,Saint Paul,MN,55112, North Central Association of Colleges and Schools The Higher Learning Commission
Central Lakes College-Brainerd,Brainerd,MN,56401-3900,WWW.CLCMN.EDU
Central Lakes College-Staples Campus,Staples,MN,564793252,http://WWW.CLCMN.EDU
Carleton College,Northfield,MN,55057-4001,www.carleton.edu
Concordia College at Moorhead,Moorhead,MN,56562,www.cord.edu
Concordia University-Saint Paul,Saint Paul,MN,55104-5494,www.csp.edu
Dakota County Technical College,Rosemount,MN,55068-2999,www.dctc.edu/
Martin Luther College,New Ulm,MN,56073-3965,www.mlc-wels.edu
Lake Superior College,Duluth,MN,55811-3399,www.lsc.edu
Cosmetology Careers Unlimited College of Hair Skin and Nails,Duluth,MN,55802,www.coscareers.com
Duluth Business University,Dultuh,MN,55807,www.dbumn.edu
Minnesota State Community and Technical College,Fergus Falls,MN,56537-1000,www.minnesota.edu
M State - Detroit Lakes Campus,Detroit Lakes,MN,565012698,http://www.minnesota.edu
M State - Moorhead Campus,Moorhead,MN,565604899,http://www.minnesota.edu
M State - Wadena Campus,Wadena,MN,564820566,http://www.minnesota.edu
Globe University-Woodbury,Woodbury,MN,55125-3388,www.globeuniversity.edu
Minnesota West Community and Technical College,Granite Falls,MN,56241,www.mnwest.edu
Gustavus Adolphus College,Saint Peter,MN,56082-1498,WWW.GUSTAVUS.EDU
Hamline University,Saint Paul,MN,55104-1284,www.hamline.edu
Hazelden Graduate School of Addiction Studies,Center City,MN,55012-0011,www.hazelden.edu
Hennepin Technical College,Brooklyn Park,MN,55445,www.hennepintech.edu
Cosmetology Careers Unlimited College of Hair Skin and Nails,Hibbing,MN,55746,www.coscareers.com
Hibbing Community College,Hibbing,MN,55746,www.hibbing.edu
Aveda Institute-Minneapolis,Minneapolis,MN,55414,aveda.edu/
Inver Hills Community College,Inver Grove Heights,MN,55076-3224,www.inverhills.edu
Itasca Community College,Grand Rapids,MN,55744-3397,www.itascacc.edu/
The Art Institutes International-Minnesota,Minneapolis,MN,55402,www.aim.artinstitutes.edu
Luther Seminary,Saint Paul,MN,55108-1496, North Central Association of Colleges and Schools The Higher Learning Commission
Macalester College,Saint Paul,MN,55105-1899,www.macalester.edu
South Central College,North Mankato,MN,56003-1920,www.southcentral.edu
South Central �College-Faribault,Faribault,MN,550215782,http://www.southcentral.edu
Minnesota State University-Mankato,Mankato,MN,56001,www.mnsu.edu
Regency Beauty Institute-Blaine,Blaine,MN,55434,www.regency.edu
Mayo Medical School,Rochester,MN,55905,www.mayo.edu/mms/
Mayo School of Health Sciences,Rochester,MN,55905,www.mayo.edu/mshs/
Argosy University-Twin Cities,Eagan,MN,55121,www.argosy.edu/twincities/
Mesabi Range Community and Technical College,Virginia,MN,55792,www.mesabirange.edu
Mesabi Range Community and Technical College,Eveleth,MN,55734,http://www.mesabirange.edu
Metropolitan State University,Saint Paul,MN,55106-5000,www.metrostate.edu
University of Minnesota-Twin Cities,Minneapolis,MN,55455-0213,www1.umn.edu/twincities/index.php
University of Minnesota-Crookston,Crookston,MN,56716-5001,www.umcrookston.edu/
Minneapolis Business College,Roseville,MN,55113-0000,minneapolisbusinesscollege.edu
Minneapolis College of Art and Design,Minneapolis,MN,55404, North Central Association of Colleges and Schools The Higher Learning Commission
Minneapolis Community and Technical College,Minneapolis,MN,55403-1779,www.minneapolis.edu
Herzing University-Minneapolis,Minneapolis,MN,55428-3548,www.herzing.edu
Minnesota School of Cosmetology-Woodbury Campus,WOODBURY,MN,55125,www.msccollege.edu
Crossroads College,Rochester,MN,55902-2382, Transnational Association of Christian Colleges and Schools Accreditation Commission
University of Minnesota-Duluth,Duluth,MN,55812,www.d.umn.edu/
University of Minnesota-Morris,Morris,MN,56267,www.morris.umn.edu/
Minnesota School of Business-Richfield,Richfield,MN,55423,www.msbcollege.edu
Model College of Hair Design,Saint Cloud,MN,56301-4332,www.modelcollegeofhairdesign.com
Minnesota State University-Moorhead,Moorhead,MN,56563,www.mnstate.edu
North Hennepin Community College,Brooklyn Park,MN,55445,www.nhcc.edu
National American University-Roseville,Roseville,MN,55113-4035,www.national.edu/locations/minnesota/roseville
Brown College-Mendota Heights,Mendota Heights,MN,55120, Accrediting Council for Independent Colleges and Schools
Normandale Community College,Bloomington,MN,55431-4399,www.normandale.edu
North Central University,Minneapolis,MN,55404-1391,www.northcentral.edu
Northland Community and Technical College,Thief River Falls,MN,56701,www.northlandcollege.edu
Northland Community and Technical College - East Grand Forks,East Grand Forks,MN,56721,http://www.northlandcollege.edu/
Northwest Technical Institute,Eagan,MN,55121-1576,www.nti.edu
University of Northwestern-St Paul,Saint Paul,MN,55113-1598,www.unwsp.edu
Northwestern Health Sciences University,Bloomington,MN,55431,www.nwhealth.edu/
Oak Hills Christian College,Bemidji,MN,56601-8834,www.oakhills.edu
Regency Beauty Institute-Burnsville,Burnsville,MN,55306,www.regency.edu
Pine Technical College,Pine City,MN,55063,www.pinetech.edu
Rainy River Community College,International Falls,MN,56649,www.rrcc.mnscu.edu
Rochester Community and Technical College,Rochester,MN,55904-4999,www.rctc.edu/
College of Saint Benedict,Saint Joseph,MN,56374,www.csbsju.edu
St Cloud Technical and Community College,Saint Cloud,MN,56303-1240,www.sctcc.edu
Regency Beauty Institute-St Cloud,Waite Park,MN,55387,www.regency.edu
Saint Cloud State University,Saint Cloud,MN,56301-4498,www.stcloudstate.edu
Saint Johns University,Collegeville,MN,56321,www.csbsju.edu
Saint Mary's University of Minnesota,Winona,MN,55987-1399,www.smumn.edu
St Olaf College,Northfield,MN,55057-1098,wp.stolaf.edu
Crown College,Saint Bonifacius,MN,55375-9001,www.crown.edu
The College of Saint Scholastica,Duluth,MN,55811-4199,www.css.edu
University of St Thomas,Saint Paul,MN,55105-1078,www.stthomas.edu
Empire Beauty School-Bloomington,Bloomington,MN,55420-4232,www.empire.edu
St Catherine University,Saint Paul,MN,55105,www.stkate.edu
Rasmussen College-Minnesota,St. Cloud,MN,56301-3713,rasmussen.edu
Rasmussen College-Bloomington,Bloomington,MN,554355444,http://www.rasmussen.edu
Rasmussen College-Eagan,Eagan,MN,551221346,http://www.rasmussen.edu
Rasmussen College-Mankato,Mankato,MN,560018658,http://www.rasmussen.edu
Rasmussen College-Brooklyn Park,Brooklyn Park,MN,554458658,http://www.rasmussen.edu
Rasmussen College-Lake Elmo/Woodbury,Lake Elmo,MN,550428624,https://www.rasmussen.edu
Rasmussen College-Blaine,Blaine,MN,550148624,http://www.rasmussen.edu
Saint Paul College,Saint Paul,MN,55102-9808,www.saintpaul.edu
Southwest Minnesota State University,Marshall,MN,56258-5468,www.smsu.edu
Summit Academy Opportunities Industrialization Center,Minneapolis,MN,55405,WWW.SAOIC.ORG
United Theological Seminary of the Twin Cities,New Brighton,MN,55112-2598, North Central Association of Colleges and Schools The Higher Learning Commission
Vermilion Community College,Ely,MN,55731,www.vcc.edu
Dunwoody College of Technology,Minneapolis,MN,55403-1192,www.dunwoody.edu
Ridgewater College,Willmar,MN,56201,www.ridgewater.edu/Pages/default.aspx
Ridgewater College,Hutchinson,MN,55350,http://www.ridgewater.edu/Pages/default.aspx
Minnesota State College-Southeast Technical,Winona,MN,55987,www.southeastmn.edu
Minnesota State College-SE Technical-Red Wing,Red Wing,MN,55066,http://www.southeastmn.edu/
Winona State University,Winona,MN,55987-5838,www.winona.edu
William Mitchell College of Law,Saint Paul,MN,55105-3076,www.wmitchell.edu
Century College,White Bear Lake,MN,55110,www.century.edu
Alcorn State University,Alcorn State,MS,39096-7500,www.alcorn.edu
Belhaven University,Jackson,MS,39202,www.belhaven.edu
Blue Mountain College,Blue Mountain,MS,38610-9509,www.bmc.edu
Chris Beauty College,Gulfport,MS,39501,www.ChrisBeautyCollege.net
Coahoma Community College,Clarksdale,MS,38614,www.coahomacc.edu/
Antonelli College-Jackson,Jackson,MS,39232,www.antonellicollege.edu
Copiah-Lincoln Community College,Wesson,MS,39191,www.colin.edu
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,39114,http://www.colin.edu
Copiah-Lincoln Community College-Natchez Campus,Natchez,MS,39120,http://www.colin.edu
Creations College of Cosmetology,Tupelo,MS,38801-2635,www.creationscosmetology.com
Delta Beauty College,Greenville,MS,38701,deltabeautyschool.com
Delta State University,Cleveland,MS,38733,www.deltastate.edu
East Central Community College,Decatur,MS,39327-0129,www.eccc.edu
East Mississippi Community College,Scooba,MS,39358-0158,www.eastms.edu/
Fosters Cosmetology College,Ripley,MS,38663-0066,www.fosters.edu
Academy of Hair Design-Grenada,Grenada,MS,38901,www.academyofhair.com
Hinds Community College,Raymond,MS,39154,www.hindscc.edu
Holmes Community College,Goodman,MS,39079,www.holmescc.edu
Itawamba Community College,Fulton,MS,38843-1099,www.iccms.edu/Default.aspx?tabid=55
Jackson State University,Jackson,MS,39217,www.jsums.edu
Jones County Junior College,Ellisville,MS,39437,www.jcjc.edu
Meridian Community College,Meridian,MS,39307-5801,www.meridiancc.edu
Millsaps College,Jackson,MS,39210-0001,www.millsaps.edu
Mississippi Delta Community College,Moorhead,MS,38761,www.msdelta.edu
University of Mississippi,University,MS,38677-1848,www.olemiss.edu
University of Mississippi Medical Center,Jackson,MS,39216-4505,www.umc.edu
Mississippi University for Women,Columbus,MS,39701,www.muw.edu
Mississippi Valley State University,Itta Bena,MS,38941-1400,www.mvsu.edu
Mississippi College,Clinton,MS,39058,www.mc.edu
Mississippi College of Beauty Culture,Laurel,MS,39440,hatfieldsinc.com
Mississippi Gulf Coast Community College,Perkinston,MS,39573,https://www.mgccc.edu
Mississippi State University,Mississippi State,MS,39762,www.msstate.edu/
Northeast Mississippi Community College,Booneville,MS,38829,www.nemcc.edu
Northwest Mississippi Community College,Senatobia,MS,38668-1714,www.northwestms.edu
Pearl River Community College,Poplarville,MS,39470,www.prcc.edu
Pearl River Community College-Forrest County Center,Hattiesburg,MS,39401,http://www.prcc.edu
Rust College,Holly Springs,MS,38635,www.rustcollege.edu
Southeastern Baptist College,Laurel,MS,39440-9989,www.southeasternbaptist.edu
Southwest Mississippi Community College,Summit,MS,39666-0000,www.smcc.edu
University of Southern Mississippi,Hattiesburg,MS,39406-0001,www.usm.edu
Magnolia College of Cosmetology,Jackson,MS,39206,www.magnoliacollegeofcosmetology.com
Tougaloo College,Tougaloo,MS,39174,www.tougaloo.edu
Wesley Biblical Seminary,Jackson,MS,39286,www.wbs.edu
William Carey University,Hattiesburg,MS,39401-5499,www.wmcarey.edu
Anthem College-Maryland Heights,Maryland Heights,MO,63042,www.anthem.edu
Aquinas Institute of Theology,Saint Louis,MO,63108-3323,www.ai.edu
Assemblies of God Theological Seminary,Springfield,MO,65802-2131,www.agts.edu
Avila University,Kansas City,MO,64145-1698,www.Avila.edu
ITT Technical Institute-Earth City,Earth City,MO,63045,www.itt-tech.edu
Baptist Bible College,Springfield,MO,65803-3498, North Central Association of Colleges and Schools The Higher Learning Commission
House of Heavilin Beauty College-Blue Springs,Blue Springs,MO,64014,kc-hair.com
Cox College,Springfield,MO,65802,www.coxcollege.edu
Calvary Bible College and Theological Seminary,Kansas City,MO,64147-1341, North Central Association of Colleges and Schools The Higher Learning Commission
Cape Girardeau Career and Technology Center,Cape Girardeau,MO,63703-7511,www.capectc.org
Central Christian College of the Bible,Moberly,MO,65270-1997,www.cccb.edu
Central Methodist University-College of Liberal Arts and Sciences,Fayette,MO,65248-1198,www.centralmethodist.edu/
University of Central Missouri,Warrensburg,MO,64093,www.ucmo.edu
Grand River Technical School,Chillicothe,MO,64601,www.grts.org
Chillicothe Beauty Academy Inc,Chillicothe,MO,64601,www.chillicothebeautyacademy.com/
Cleveland University-Kansas City,Overland Park,KS,66210,www.cleveland.edu
Columbia Area Career Center,Columbia,MO,65203-7199,www.career-center.org
Columbia College,Columbia,MO,65216,www.ccis.edu
Conception Seminary College,Conception,MO,64433-0502,www.conception.edu
Concordia Seminary,Saint Louis,MO,63105-3196, North Central Association of Colleges and Schools The Higher Learning Commission
Cottey College,Nevada,MO,64772,www.cottey.edu
Covenant Theological Seminary,Saint Louis,MO,63141-8697, North Central Association of Colleges and Schools The Higher Learning Commission
Crowder College,Neosho,MO,64850,www.crowder.edu
Culver-Stockton College,Canton,MO,63435-1299,www.culver.edu
Drury University,Springfield,MO,65802-3791,www.drury.edu
East Central College,Union,MO,63084,www.eastcentral.edu
Eden Theological Seminary,Webster Groves,MO,63119-3192, North Central Association of Colleges and Schools The Higher Learning Commission
Elaine Steven Beauty College,Saint Louis,MO,63136-5618,www.elainestevenbeautycollege.com
Pinnacle Career Institute-South Kansas City,Kansas City,MO,64131-3367,PCITRAINING.EDU
Evangel University,Springfield,MO,65802,www.evangel.edu
Fontbonne University,Saint Louis,MO,63105-3098,www.fontbonne.edu
Forest Institute of Professional Psychology,Springfield,MO,65807,www.forest.edu
Four Rivers Career Center,Washington,MO,63090-4235,www.washington.k12.mo.us
Ozarks Technical Community College,Springfield,MO,65802,www.otc.edu
Hannibal-LaGrange University,Hannibal,MO,63401-1999,www.hlg.edu
Harris-Stowe State University,Saint Louis,MO,63103-2136,www.hssu.edu
Hickey College,Saint Louis,MO,63146,www.hickeycollege.edu
House of Heavilin Beauty College-Kansas City,Kansas City,MO,64110-2826,kc-hair.com
Independence College of Cosmetology,Independence,MO,64055,www.hair-skin-nails.com
Jefferson College,Hillsboro,MO,63050-2440,www.jeffco.edu
Cosmetology Concepts Institute,Columbia,MO,65202,www.cosmetology-concepts.com
Barnes-Jewish College Goldfarb School of Nursing,Saint Louis,MO,63110,www.barnesjewishcollege.edu
Kansas City Art Institute,Kansas City,MO,64111-1874, North Central Association of Colleges and Schools The Higher Learning Commission
Kenrick Glennon Seminary,Saint Louis,MO,63119-4399, North Central Association of Colleges and Schools The Higher Learning Commission
A T Still University of Health Sciences,Kirksville,MO,63501,WWW.ATSU.EDU
Lake Career and Technical Center,Camdenton,MO,65020,camdentonschools.org
Lex La-Ray Technical Center,Lexington,MO,64067-1525,www.lexlaray.com
Lincoln University,Jefferson City,MO,65101,www.lincolnu.edu/
Lindenwood University,Saint Charles,MO,63301-1695,www.lindenwood.edu
Lindenwood University-Belleville,Belleville,IL,62226,http://belleville.lindenwood.edu/index.html
Linn State Technical College,Linn,MO,65051-9607,www.linnstate.edu
Logan University,Chesterfield,MO,63017-5529,www.logan.edu
Metropolitan Community College-Kansas City,Kansas City,MO,64111-2429,www.mcckc.edu
Lutheran School of Nursing,Saint Louis,MO,63118-3909,www.nursingschoollmc.com
Maryville University of Saint Louis,Saint Louis,MO,63141-7299,www.maryville.edu
Merrell University of Beauty Arts and Science,Jefferson City,MO,65109,merrelluniversity.edu
Metro Business College-Cape Girardeau,Cape Girardeau,MO,63701,www.metrobusinesscollege.edu
Midwest Institute,Fenton,MO,63026,midwestinstitute.com
Midwestern Baptist Theological Seminary,Kansas City,MO,64118-4697, North Central Association of Colleges and Schools The Higher Learning Commission
Mineral Area College,Park Hills,MO,63601-1000,www.mineralarea.edu
Westwood College-O'Hare Airport,Chicago,IL,60631,www.westwood.edu
Missouri Baptist University,Saint Louis,MO,63141-8698,www.mobap.edu
National Academy of Beauty Arts-Farmington,Farmington,MO,63640,nabacollege.com
Missouri College,Brentwood,MO,63144,www.missouricollege.edu/
Missouri School of Barbering & Hairstyling,Florissant,MO,63031-4701,americancollegeofhair.com
Missouri Southern State University,Joplin,MO,64801-1595,www.mssu.edu
Missouri Tech,Saint Charles,MO,63303-3887,www.motech.edu
Missouri Valley College,Marshall,MO,65340,www.moval.edu
Missouri Western State University,Saint Joseph,MO,64507,missouriwestern.edu
University of Missouri-Columbia,Columbia,MO,65211,missouri.edu/
University of Missouri-Kansas City,Kansas City,MO,64110,www.umkc.edu/
Missouri University of Science and Technology,Rolla,MO,65409,www.mst.edu/
University of Missouri-St Louis,Saint Louis,MO,63121-4400,www.umsl.edu/
Moberly Area Community College,Moberly,MO,65270-1304,www.macc.edu
Hillyard Technical Center,Saint Joseph,MO,64506-5102,www.hillyardtech.com
National Academy of Beauty Arts-St Louis,Saint Louis,MO,63128-0000,www.nabacollege.com
Nazarene Theological Seminary,Kansas City,MO,64131-1246,www.nts.edu
Neosho Beauty College,Neosho,MO,64850,neoshobeautycollege.com
Northwest Technical School,Maryville,MO,64468,www.nts.maryville.k12.mo.us/
Truman State University,Kirksville,MO,63501-4221,www.truman.edu
Northwest Missouri State University,Maryville,MO,64468-6001,www.nwmissouri.edu
Ozark Christian College,Joplin,MO,64801,www.occ.edu
College of the Ozarks,Point Lookout,MO,65726-0017,www.cofo.edu
Park University,Parkville,MO,64152-3795,www.park.edu
Stevens Institute of Business & Arts,Saint Louis,MO,63103,www.siba.edu
Poplar Bluff Technical Career Center,Poplar Bluff,MO,63901-8960,www.poplarbluffschools.net
Ranken Technical College,Saint Louis,MO,63113-2811,www.ranken.edu
Research College of Nursing,Kansas City,MO,64132-1199, Joint Review Committee on Education in Radiologic Technology
Rockhurst University,Kansas City,MO,64110-2561,www.rockhurst.edu
Rolla Technical Institute,Rolla,MO,65401,rolla.k12.mo.us
Everest College-Springfield,Springfield,MO,65807,www.everest.edu/campus/springfield
Saint Louis University,Saint Louis,MO,63103-2097,www.slu.edu
Salem College of Hairstyling,Rolla,MO,65401,www.centralandsalemcolleges.com
Sanford-Brown College-Fenton,Fenton,MO,63026-3400,www.sanford-browncollege.com
American College of Hair Design Inc,Sedalia,MO,65301,www.americancollegeofhairdesign.com
Sikeston Career and Technology Center,Sikeston,MO,63801,www.sikestonr6.org
Saint Louis Christian College,Florissant,MO,63033,www.slcconline.edu
St Louis College of Pharmacy,Saint Louis,MO,63110-1088,www.stlcop.edu
Saint Louis Community College,Saint Louis,MO,63102-2810,www.stlcc.edu
Saint Paul School of Theology,Leawood,KS,66224, North Central Association of Colleges and Schools The Higher Learning Commission
Southwest Baptist University,Bolivar,MO,65613-2596,www.sbuniv.edu
Missouri State University-West Plains,West Plains,MO,65775-2715,www.wp.missouristate.edu
Mercy Hospital Springfield-School of Radiologic Technology,Springfield,MO,65804,www.mercy.net/springfieldmo
Saint Luke's College of Health Sciences,Kansas City,MO,64111,www.saintlukescollege.edu/
St Louis College of Health Careers-St Louis,Saint Louis,MO,63110,www.slchc.com
State Fair Community College,Sedalia,MO,65301-2199,www.sfccmo.edu
Stephens College,Columbia,MO,65215,www.stephens.edu
Southeast Missouri State University,Cape Girardeau,MO,63701,www.semo.edu
Missouri State University-Springfield,Springfield,MO,65897,www.missouristate.edu
Three Rivers Community College,Poplar Bluff,MO,63901,www.trcc.edu
North Central Missouri College,Trenton,MO,64683, North Central Association of Colleges and Schools The Higher Learning Commission
Eldon Career Center,Eldon,MO,65026,www.eldoncareercenter.org
Truman Medical Center School of Nurse Anesthesia,Kansas City,MO,64108,www.trumed.org/crna
Kansas City University of Medicine and Biosciences,Kansas City,MO,64106-1453,www.kcumb.edu
Washington University in St Louis,Saint Louis,MO,63130-4899,www.wustl.edu
Webster University,Saint Louis,MO,63119-3194,www.webster.edu
Wentworth Military Academy & Junior College,Lexington,MO,64067-1799,www.wma.edu
Westminster College,Fulton,MO,65251-1299,WWW.WESTMINSTER-MO.EDU
William Jewell College,Liberty,MO,64068-1896,www.jewell.edu
William Woods University,Fulton,MO,65251-1098,www.williamwoods.edu
Academy of Cosmetology,Bozeman,MT,59715-3544,www.academycosmetology.com
Blackfeet Community College,Browning,MT,59417-0819,bfcc.edu
Butte Academy of Beauty Culture,Butte,MT,59701,butteacademyofbeauty.ipage.com/
Highlands College of Montana Tech,Butte,MT,59701,www.mtech.edu/
Crevier's School of Cosmetology,Kalispell,MT,59901-4402,www.crevierschool.com
Carroll College,Helena,MT,59625-0002,www.carroll.edu
Dawson Community College,Glendive,MT,59330,www.dawson.edu
Chief Dull Knife College,Lame Deer,MT,59043,cdkc.edu
Montana State University-Billings,Billings,MT,59101-0298,www.msubillings.edu
City College Montana State University Billings,Billings,MT,591029856,http://citycollege.msubillings.edu/
Flathead Valley Community College,Kalispell,MT,59901,www.fvcc.edu
Aaniiih Nakoda College,Harlem,MT,59526,www.ancollege.edu
Fort Peck Community College,Poplar,MT,59255-0398,www.fpcc.edu
Great Falls College Montana State University,Great Falls,MT,59405,www.gfcmsu.edu
University of Great Falls,Great Falls,MT,59405-4996,www.ugf.edu
Helena College University of Montana,Helena,MT,59601,www.umhelena.edu
Little Big Horn College,Crow Agency,MT,59022,www.lbhc.edu/
Miles Community College,Miles City,MT,59301-4774,milescc.edu/
Modern Beauty School Inc,Missoula,MT,59801,modernbeautyschool.org
Montana Tech of the University of Montana,Butte,MT,59701-8997,www.mtech.edu
Montana State University,Bozeman,MT,59717,www.montana.edu/
The University of Montana,Missoula,MT,59812,www.umt.edu
The University of Montana - Missoula College,Missoula,MT,59812,http://www.umt.edu
Montana State University-Northern,Havre,MT,59501,www.msun.edu
Rocky Mountain College,Billings,MT,59102-1796,rocky.edu
Salish Kootenai College,Pablo,MT,59855,www.skc.edu
The University of Montana-Western,Dillon,MT,59725-3598,www.umwestern.edu
La'James International College,Fremont,NE,68025,www.lajamesinternational.com
Bellevue University,Bellevue,NE,68005-3098,bellevue.edu
Clarkson College,Omaha,NE,68131-2739,www.clarksoncollege.edu/
Bryan College of Health Sciences,Lincoln,NE,68506-1299,www.bryanhealth.com/CollegeofHealthSciences
Central Community College,Grand Island,NE,68802-4903,www.cccneb.edu
Chadron State College,Chadron,NE,69337-2690,www.csc.edu
College of Hair Design-Downtown,Lincoln,NE,68508-2199,collegeofhairdesign.com
Concordia University-Nebraska,Seward,NE,68434-1556,www.cune.edu
Creighton University,Omaha,NE,68178,www.creighton.edu
Doane College-Crete,Crete,NE,68333,www.doane.edu
Grace University,Omaha,NE,68108-3629, North Central Association of Colleges and Schools The Higher Learning Commission
Hastings College,Hastings,NE,68901,www.hastings.edu
Alegent Creighton Health School of Radiologic Technology,Omaha,NE,68124,www.alegent.com
Joseph's College,Lincoln,NE,68510-2226,josephscollege.edu
University of Nebraska at Kearney,Kearney,NE,68849-1212,www.unk.edu
Kaplan University-Lincoln Campus,Lincoln,NE,68508, North Central Association of Colleges and Schools The Higher Learning Commission
Nebraska Methodist College of Nursing & Allied Health,Omaha,NE,68114-2852,www.methodistcollege.edu
Metropolitan Community College Area,Omaha,NE,68111-1610,www.mccneb.edu
Mid-Plains Community College,North Platte,NE,69101,www.mpcc.edu
Midland University,Fremont,NE,68025,www.midlandu.edu
Nebraska Christian College,Papillion,NE,68046,nechristian.edu
University of Nebraska at Omaha,Omaha,NE,68182-0225,www.unomaha.edu
Kaplan University-Omaha Campus,Omaha,NE,68134-1002, North Central Association of Colleges and Schools The Higher Learning Commission
Nebraska Indian Community College,Macy,NE,68039-0428,www.thenicc.edu
University of Nebraska Medical Center,Omaha,NE,68198-7815,www.unmc.edu
Nebraska Wesleyan University,Lincoln,NE,68504-2794,www.nebrwesleyan.edu/
University of Nebraska-Lincoln,Lincoln,NE,68588,www.unl.edu/
Northeast Community College,Norfolk,NE,68702-0469,www.northeast.edu
Peru State College,Peru,NE,68421-0010,www.peru.edu
College of Saint Mary,Omaha,NE,68106,WWW.CSM.EDU
Southeast Community College Area,Lincoln,NE,68510-2449,www.southeast.edu
Union College,Lincoln,NE,68506,www.ucollege.edu
Vatterott College-Spring Valley,Omaha,NE,68137,www.vatterott.edu
Nebraska College of Technical Agriculture,Curtis,NE,69025-9552,NCTA.UNL.EDU
Wayne State College,Wayne,NE,68787,www.wsc.edu
Regional West Medical Center School of Radiologic Technology,Scottsbluff,NE,69361,www.rwmc.net/sort
Western Nebraska Community College,Scottsbluff,NE,69361-1899,www.wncc.edu
York College,York,NE,68467-2699,www.york.edu/
Academy of Hair Design-Las Vegas,Las Vegas,NV,89146,www.ahdvegas.com/
Career College of Northern Nevada,Sparks,NV,89434-7905,www.ccnn.edu
College of Southern Nevada,Las Vegas,NV,89146-1164,www.csn.edu
The Art Institute of Las Vegas,Henderson,NV,89074-7737, Accrediting Council for Independent Colleges and Schools
Everest College-Henderson,Henderson,NV,89074,www.everest.edu/campus/henderson
Marinello Schools of Beauty-Las Vegas,Las Vegas,NV,89110,www.marinello.com
Marinello Schools of Beauty,Henderson,NV,890142244,http://www.marinello.com
University of Nevada-Las Vegas,Las Vegas,NV,89154,go.unlv.edu/
University of Nevada-Reno,Reno,NV,89557,www.unr.edu/
